case,ret,status,passed,failed,broken,skipped,warnings,all
flock04,0,passed,6,0,0,0,0,6
flock06,0,passed,4,0,0,0,0,4
pipe01,0,passed,1,0,0,0,0,1
pipe02,0,passed,1,0,0,0,0,1
pipe03,0,passed,2,0,0,0,0,2
pipe04,0,passed,2,0,0,0,0,2
pipe05,0,passed,1,0,0,0,0,1
pipe06,0,passed,1,0,0,0,0,1
pipe07,0,passed,2,0,0,0,0,2
pipe08,0,passed,1,0,0,0,0,1
pipe09,0,passed,1,0,0,0,0,1
pipe10,0,passed,1,0,0,0,0,1
pipe11,0,passed,70,0,0,0,0,70
pipe12,0,passed,6,0,0,0,0,6
pipe13,0,passed,4,0,0,0,0,4
pipe14,0,passed,1,0,0,0,0,1
pipe15,0,passed,1,0,0,0,0,1
pipe2_01,0,passed,7,0,0,0,0,7
pipe2_02,0,passed,1,0,0,0,0,1
pipe2_02_child,1,empty,0,0,0,0,0,0
pipe2_04,0,passed,2,0,0,0,0,2
splice01,0,passed,1,0,0,0,0,1
splice02,0,passed,1,0,0,0,0,1
splice03,0,passed,7,0,0,0,0,7
splice04,0,passed,1,0,0,0,0,1
splice05,0,passed,1,0,0,0,0,1
splice06,0,passed,4,0,0,0,0,4
splice07,0,passed,615,0,0,0,0,615
tee01,0,passed,1,0,0,0,0,1
tee02,0,passed,3,0,0,0,0,3
vmsplice01,0,passed,1,0,0,0,0,1
vmsplice02,0,passed,3,0,0,0,0,3
vmsplice03,0,passed,1,0,0,0,0,1
vmsplice04,0,passed,2,0,0,0,0,2
fsync01,0,passed,80,0,0,0,0,80
fsync03,0,passed,5,0,0,0,0,5
llseek01,0,passed,5,0,0,0,0,5
llseek02,0,passed,2,0,0,0,0,2
llseek03,0,passed,18,0,0,0,0,18
lseek01,0,passed,4,0,0,0,0,4
lseek02,0,passed,15,0,0,0,0,15
lseek07,0,passed,2,0,0,0,0,2
open01,0,passed,2,0,0,0,0,2
open02,0,passed,2,0,0,0,0,2
open03,0,passed,1,0,0,0,0,1
open04,0,passed,1,0,0,0,0,1
open06,0,passed,1,0,0,0,0,1
